b,k,error
0.0,0.0,92.34182926829268
0.1215365853658537,0.9012756097560977,28.311108177355724
0.1891881375371803,1.395379091564545,9.05580072754679
0.22728824876208534,1.6662001624821747,3.2651030690192875
0.24918083970599397,1.8145792083079175,1.5234080159536545
0.26218337806245184,1.8958144997358117,0.9993076217485628
0.27030857985824186,1.940230184047287,0.8413569557752927
0.2757569203772863,1.9644552422197907,0.7935143251166632
0.2797350887257422,1.9776085786215643,0.7787843183578169
0.28290480724391726,1.9846907649613716,0.7740133054225145
0.2856289525166623,1.9884439853480202,0.7722386510845151
0.2881065217989626,1.9903719822755872,0.7713665842025372
0.2904466451289655,1.991299368742585,0.7707674708335311
0.2927091716653043,1.991678340618279,0.7702519640921927
0.2949269261895928,1.9917568698078765,0.7697631177490929
0.29711791399941223,1.991670937054079,0.7692838003796729
0.29929201375742853,1.9914951100308593,0.768808853472609
0.301454647677563,1.991270279067922,0.7683367189740783
0.303608794160623,1.991018866707922,0.7678669215702658
0.30575609147189037,1.9907531682360597,0.7673993115735096
0.3078974429695227,1.9904799254117758,0.7669338372471822
