b,k,error
-6.789522570552262e+39,-5.130865887679247e+40,6.048795437501391e+82
2.3873709361818763e+40,1.804144543361626e+41,7.478770901798463e+83
-8.394610854739866e+40,-6.3438367024123814e+41,9.24680207480971e+84
2.951761300873428e+41,2.230656310490958e+42,1.1432807574055201e+86
-1.0379152682717178e+42,-7.843561883679902e+42,1.41355993096742e+87
3.649577300823028e+42,2.7579982955588337e+43,1.7477348984435614e+88
-1.283285339550066e+43,-9.697832070570376e+43,2.1609110504052137e+89
4.512361643450457e+43,3.410007432579903e+44,2.671764792201494e+90
-1.5866625273239585e+44,-1.1990464060042519e+45,3.303387755599157e+91
5.579113941960115e+44,4.216155865279115e+45,4.0843305876677863e+92
-1.9617600996647512e+45,-1.4825089497215386e+46,5.049893498298392e+93
6.898053577454914e+45,5.212883148139875e+46,6.2437219017371615e+94
-2.425533232405434e+46,-1.8329839237236874e+47,7.719779278388414e+95
8.528799313376462e+46,6.445243388638744e+47,9.544786434266764e+96
-2.998945417693297e+47,-2.266313512144777e+48,1.1801237417604196e+98
1.0545064185292834e+48,7.968941784857516e+48,1.4591128418198075e+99
-3.7079160566208656e+48,-2.802085096794468e+49,1.8040568203361272e+100
1.303798748055231e+49,9.85285261412918e+49,2.230547849158896e+101
-4.5844920690560286e+49,-3.4645166467930768e+50,2.7578641932466334e+102
1.6120254420084241e+50,1.2182132490943783e+51,3.4098416275893545e+103
-5.668296479826881e+50,-4.283551420203979e+51,4.2159508628862433e+104
1.993118976037223e+51,1.5062069619725505e+52,5.212629681818117e+105
-7.008319460313407e+51,-5.296211460411389e+52,6.4449300011930405e+106
2.4643055556804977e+52,1.8622843036562812e+53,7.968554310535706e+107
-8.665132784181332e+52,-6.54827106804223e+53,9.852373538301089e+108
3.0468837760161638e+53,2.3025406967331244e+54,1.2181540158404203e+110
-1.0713627795177079e+54,-8.096325892778499e+54,1.5061337255834725e+111
